Mese;Settimana;Data;Sport;Competizione;Mercato;Stake;Quota;Pot_win;Esito;Tipster;Book;Online_fisico;Live_PM;Profit;Cumulativo
M4_M22;W913_M3;2022-05-18;TENTAV;TTSeries;Vincente Incontro;50.00;2.25;112.50;V;oyyo1996;Sisal;O;L;62.50;234.65
M4_M22;W913_M3;2022-05-18;TENTAV;TTCup;Vincente Incontro;35.00;4.00;140.00;P;yurilecce;Sisal;O;L;-35.00;199.65
M4_M22;W913_M3;2022-05-18;PNUOTO;A1;U/O;130.00;1.95;253.50;V;Truffa;Sisal;O;L;123.50;323.15
M4_M22;W914_M4;2022-05-22;CALCIO;ITA-1;1X2;150.00;1.80;270.00;P;Ludo;Sisal;O;PM;-150.00;173.15
M4_M22;W914_M4;2022-05-24;CALCIO;FIN-4;Prossimo Gol;25.00;2.75;68.75;P;cobra_80;Sisal;O;L;-25.00;148.15
M4_M22;W914_M4;2022-05-25;CALCIO;ITA-4;1X2;50.00;2.10;105.00;V;Info;Sisal;O;PM;55.00;203.15
M4_M22;W914_M4;2022-05-25;CALCIO;TAN-1;1X2;25.00;2.37;59.25;P;Bo;Sisal;O;L;-25.00;178.15
M4_M22;W914_M4;2022-05-25;CALCIO;SVE-4;1X2;35.00;2.75;96.25;P;giovanna;Sisal;O;L;-35.00;143.15
M4_M22;W914_M4;2022-05-26;CALCIO;SVE-4;1X2;10.00;7.00;70.00;P;Bo;Sisal;O;L;-10.00;133.15
M4_M22;W914_M4;2022-05-27;CALCIO;NEP-2;1X2 HT;25.00;2.62;65.50;P;Bo;Sisal;O;L;-25.00;108.15
M4_M22;W914_M4;2022-05-27;TENNIS;ITF;Vincente Incontro;35.00;1.57;54.95;P;Bo;Sisal;O;L;-35.00;73.15
M4_M22;W914_M4;2022-05-27;CALCIO;ARA-2;1X2;35.00;2.73;95.55;V;Jack;Sisal;O;PM;60.55;133.70
M5_G22;W915_G1;2022-06-02;TENTAV;TTCup;Vincente Incontro;25.00;3.95;98.75;P;Arb_TT;Sisal;O;L;-25.00;108.70
M5_G22;W915_G1;2022-06-03;TENTAV;TTSeries;Vincente Incontro;70.00;1.70;119.00;P;Arb_TT;Sisal;O;L;-70.00;38.70
M5_G22;W915_G1;2022-06-03;TENTAV;TTCup;Vincente Incontro;50.00;3.20;160.00;V;Sicuro;Sisal;O;L;110.00;148.70
M5_G22;W915_G1;2022-06-04;TENTAV;TTCup;Vincente Incontro;25.00;1.95;48.75;P;federicovic;Sisal;O;L;-25.00;123.70
M5_G22;W915_G1;2022-06-04;CALCIO;CRO-U19;1X2;10.00;7.50;75.00;P;Bo;Sisal;O;L;-10.00;113.70
